Series,InstanceType,CPU,Memory,Price
ecs.g7.2xlarge,8,32.0,,g7,g
ecs.g7t.16xlarge,64,256.0,,g7t,g
ecs.g8i.2xlarge,8,32.0,,g8i,g
ecs.g7se.xlarge,4,16.0,,g7se,g
ecs.g6e.2xlarge,8,32.0,,g6e,g
ecs.g7se.6xlarge,24,96.0,,g7se,g
ecs.g6.xlarge,4,16.0,1.5942,g6,g
ecs.g7se.3xlarge,12,48.0,,g7se,g
ecs.g6e.4xlarge,16,64.0,,g6e,g
ecs.g8a.16xlarge,64,256.0,,g8a,g
ecs.g8i.xlarge,4,16.0,,g8i,g
ecs.g7nex.large,2,8.0,,g7nex,g
ecs.g8a.2xlarge,8,32.0,,g8a,g
ecs.g7a.large,2,8.0,,g7a,g
ecs.g8y.8xlarge,32,128.0,,g8y,g
ecs.g7t.3xlarge,12,48.0,,g7t,g
ecs.g8a.large,2,8.0,,g8a,g
ecs.g8y.large,2,8.0,,g8y,g
ecs.g5ne.8xlarge,32,128.0,14.3924,g5ne,g
ecs.g7t.4xlarge,16,64.0,,g7t,g
ecs.g7nex.2xlarge,8,32.0,,g7nex,g
ecs.g7se.large,2,8.0,,g7se,g
ecs.gn7e-c16g1.4xlarge,16,125.0,,gn7e-c16g1,g
ecs.g7t.6xlarge,24,96.0,,g7t,g
ecs.g7.xlarge,4,16.0,,g7,g
ecs.g8a.4xlarge,16,64.0,,g8a,g
ecs.g6.3xlarge,12,48.0,4.7626,g6,g
ecs.g7t.8xlarge,32,128.0,,g7t,g
ecs.g8a.8xlarge,32,128.0,,g8a,g
ecs.g5ne.large,2,8.0,0.90537244,g5ne,g
ecs.g8i.24xlarge,96,384.0,,g8i,g
ecs.g6e.large,2,8.0,,g6e,g
ecs.g7a.4xlarge,16,64.0,,g7a,g
ecs.g7.16xlarge,64,256.0,,g7,g
ecs.g7t.2xlarge,8,32.0,,g7t,g
ecs.g7se.2xlarge,8,32.0,,g7se,g
ecs.g5ne.2xlarge,8,32.0,3.6056,g5ne,g
ecs.g8a.12xlarge,48,192.0,,g8a,g
ecs.g7se.4xlarge,16,64.0,,g7se,g
ecs.g6e.xlarge,4,16.0,,g6e,g
ecs.g8i.16xlarge,64,256.0,,g8i,g
ecs.g7a.32xlarge,128,512.0,,g7a,g
ecs.g7a.16xlarge,64,256.0,,g7a,g
ecs.g7t.large,2,8.0,,g7t,g
ecs.g8y.xlarge,4,16.0,,g8y,g
ecs.g5ne.4xlarge,16,64.0,7.2012,g5ne,g
ecs.g6e.13xlarge,52,192.0,,g6e,g
ecs.g7nex.xlarge,4,16.0,,g7nex,g
ecs.g8i.xlarge,4,16.0,,g8i,g
ecs.g7nex.large,2,8.0,,g7nex,g
ecs.g6.8xlarge,32,128.0,12.6836,g6,g
ecs.g8a.xlarge,4,16.0,,g8a,g
ecs.g8a.2xlarge,8,32.0,,g8a,g
ecs.g7.8xlarge,32,128.0,,g7,g
ecs.g8i.large,2,8.0,,g8i,g
ecs.g8i.6xlarge,24,96.0,,g8i,g
ecs.g7a.large,2,8.0,,g7a,g
ecs.g8i.48xlarge,192,1024.0,,g8i,g
ecs.g7se.8xlarge,32,128.0,,g7se,g
ecs.g5ne.18xlarge,72,288.0,32.3704,g5ne,g
ecs.g7a.xlarge,4,16.0,,g7a,g
ecs.g7.32xlarge,128,512.0,,g7,g
ecs.g8a.large,2,8.0,,g8a,g
ecs.g6.4xlarge,16,64.0,6.3468,g6,g
ecs.g6.large,2,8.0,0.8021,g6,g
ecs.g7.3xlarge,12,48.0,,g7,g
ecs.g5ne.8xlarge,32,128.0,14.3924,g5ne,g
ecs.g7nex.2xlarge,8,32.0,,g7nex,g
ecs.g8i.3xlarge,12,48.0,,g8i,g
ecs.g7.4xlarge,16,64.0,,g7,g
ecs.g6.6xlarge,24,96.0,9.5152,g6,g
ecs.g7se.large,2,8.0,,g7se,g
ecs.g7.xlarge,4,16.0,,g7,g
ecs.g8a.4xlarge,16,64.0,,g8a,g
ecs.g8a.48xlarge,192,768.0,,g8a,g
ecs.g6.3xlarge,12,48.0,4.7626,g6,g
ecs.g7.large,2,8.0,,g7,g
ecs.g8a.8xlarge,32,128.0,,g8a,g
ecs.g8i.8xlarge,32,128.0,,g8i,g
ecs.g5ne.xlarge,4,16.0,1.8007449,g5ne,g
ecs.g7a.8xlarge,32,128.0,,g7a,g
ecs.g7.6xlarge,24,96.0,,g7,g
ecs.g7a.2xlarge,8,32.0,,g7a,g
ecs.g5ne.large,2,8.0,0.90537244,g5ne,g
ecs.g8a.32xlarge,128,512.0,,g8a,g
ecs.g8i.24xlarge,96,384.0,,g8i,g
ecs.g6e.large,2,8.0,,g6e,g
ecs.g7a.4xlarge,16,64.0,,g7a,g
ecs.g7.16xlarge,64,256.0,,g7,g
ecs.g5ne.16xlarge,64,256.0,28.7748,g5ne,g
ecs.g8i.12xlarge,48,192.0,,g8i,g
ecs.g6.13xlarge,52,192.0,20.6046,g6,g
ecs.g7se.2xlarge,8,32.0,,g7se,g
ecs.g6.2xlarge,8,32.0,3.1784,g6,g
ecs.g8a.24xlarge,96,384.0,,g8a,g
ecs.g8i.4xlarge,16,64.0,,g8i,g
ecs.g5ne.2xlarge,8,32.0,3.6056,g5ne,g
ecs.g7.2xlarge,8,32.0,,g7,g
ecs.g6e.8xlarge,32,128.0,,g6e,g
ecs.g8i.2xlarge,8,32.0,,g8i,g
ecs.g8a.12xlarge,48,192.0,,g8a,g
ecs.g7se.4xlarge,16,64.0,,g7se,g
ecs.g7se.xlarge,4,16.0,,g7se,g
ecs.g6e.2xlarge,8,32.0,,g6e,g
ecs.g6e.xlarge,4,16.0,,g6e,g
ecs.g8i.16xlarge,64,256.0,,g8i,g
ecs.g7se.16xlarge,64,256.0,,g7se,g
ecs.g7a.32xlarge,128,512.0,,g7a,g
ecs.g7a.16xlarge,64,256.0,,g7a,g
ecs.g7se.6xlarge,24,96.0,,g7se,g
ecs.g6.xlarge,4,16.0,1.5942,g6,g
ecs.g5ne.4xlarge,16,64.0,7.2012,g5ne,g
ecs.g7se.3xlarge,12,48.0,,g7se,g
ecs.g6e.4xlarge,16,64.0,,g6e,g
ecs.g8a.16xlarge,64,256.0,,g8a,g
ecs.g6e.13xlarge,52,192.0,,g6e,g
ecs.g7nex.xlarge,4,16.0,,g7nex,g
ecs.g6.8xlarge,32,128.0,12.6836,g6,g
ecs.g8a.xlarge,4,16.0,,g8a,g
ecs.g7.8xlarge,32,128.0,,g7,g
ecs.g8y.4xlarge,16,64.0,,g8y,g
ecs.g8i.large,2,8.0,,g8i,g
ecs.g8i.6xlarge,24,96.0,,g8i,g
ecs.g8i.48xlarge,192,1024.0,,g8i,g
ecs.g7se.8xlarge,32,128.0,,g7se,g
ecs.g7a.xlarge,4,16.0,,g7a,g
ecs.g7.32xlarge,128,512.0,,g7,g
ecs.g6.4xlarge,16,64.0,6.3468,g6,g
ecs.g6.large,2,8.0,0.8021,g6,g
ecs.g8y.small,1,4.0,,g8y,g
ecs.g7.3xlarge,12,48.0,,g7,g
ecs.g8i.3xlarge,12,48.0,,g8i,g
ecs.g7.4xlarge,16,64.0,,g7,g
ecs.g6.6xlarge,24,96.0,9.5152,g6,g
ecs.g8a.48xlarge,192,768.0,,g8a,g
ecs.g6.26xlarge,104,384.0,41.1992,g6,g
ecs.g7.large,2,8.0,,g7,g
ecs.g8i.8xlarge,32,128.0,,g8i,g
ecs.g5ne.xlarge,4,16.0,1.8007449,g5ne,g
ecs.g7a.8xlarge,32,128.0,,g7a,g
ecs.g7.6xlarge,24,96.0,,g7,g
ecs.g7a.2xlarge,8,32.0,,g7a,g
ecs.g8a.32xlarge,128,512.0,,g8a,g
ecs.g8y.16xlarge,64,256.0,,g8y,g
ecs.g7t.xlarge,4,16.0,,g7t,g
ecs.g8i.12xlarge,48,192.0,,g8i,g
ecs.g8y.2xlarge,8,32.0,,g8y,g
ecs.g6.2xlarge,8,32.0,3.1784,g6,g
ecs.g8a.24xlarge,96,384.0,,g8a,g
ecs.gn5-c4g1.2xlarge,8,60.0,2.1619,gn5-c4g1,g
ecs.g8i.4xlarge,16,64.0,,g8i,g
ecs.g7.2xlarge,8,32.0,,g7,g
ecs.g6e.8xlarge,32,128.0,,g6e,g
ecs.g8i.2xlarge,8,32.0,,g8i,g
ecs.g7se.xlarge,4,16.0,,g7se,g
ecs.g6e.2xlarge,8,32.0,,g6e,g
ecs.gn5-c8g1.4xlarge,16,120.0,2.6011,gn5-c8g1,g
ecs.g7se.16xlarge,64,256.0,,g7se,g
ecs.g7se.6xlarge,24,96.0,,g7se,g
ecs.g6.xlarge,4,16.0,1.5942,g6,g
ecs.g7se.3xlarge,12,48.0,,g7se,g
ecs.g6e.4xlarge,16,64.0,,g6e,g
ecs.g8a.16xlarge,64,256.0,,g8a,g
ecs.g8i.xlarge,4,16.0,,g8i,g
ecs.g7nex.large,2,8.0,,g7nex,g
ecs.g8a.2xlarge,8,32.0,,g8a,g
ecs.g7a.large,2,8.0,,g7a,g
ecs.gn5-c28g1.7xlarge,28,112.0,1.8748,gn5-c28g1,g
ecs.g8y.8xlarge,32,128.0,,g8y,g
ecs.g7t.3xlarge,12,48.0,,g7t,g
ecs.g8a.large,2,8.0,,g8a,g
ecs.g8y.large,2,8.0,,g8y,g
ecs.g5ne.8xlarge,32,128.0,14.3924,g5ne,g
ecs.g7t.4xlarge,16,64.0,,g7t,g
ecs.g7nex.2xlarge,8,32.0,,g7nex,g
ecs.g7se.large,2,8.0,,g7se,g
ecs.gn5-c4g1.xlarge,4,30.0,1.0855,gn5-c4g1,g
ecs.g7t.6xlarge,24,96.0,,g7t,g
ecs.g7.xlarge,4,16.0,,g7,g
ecs.g8a.4xlarge,16,64.0,,g8a,g
ecs.gn5-c28g1.14xlarge,56,224.0,3.7396,gn5-c28g1,g
ecs.g6.3xlarge,12,48.0,4.7626,g6,g
ecs.g7t.8xlarge,32,128.0,,g7t,g
ecs.g8a.8xlarge,32,128.0,,g8a,g
ecs.g5ne.large,2,8.0,0.90537244,g5ne,g
ecs.g8i.24xlarge,96,384.0,,g8i,g
ecs.g6e.large,2,8.0,,g6e,g
ecs.g7a.4xlarge,16,64.0,,g7a,g
ecs.g7.16xlarge,64,256.0,,g7,g
ecs.g7t.2xlarge,8,32.0,,g7t,g
ecs.g7se.2xlarge,8,32.0,,g7se,g
ecs.g6.13xlarge,52,192.0,20.6046,g6,g
ecs.g5ne.2xlarge,8,32.0,3.6056,g5ne,g
ecs.g8a.12xlarge,48,192.0,,g8a,g
ecs.g7se.4xlarge,16,64.0,,g7se,g
ecs.g6e.xlarge,4,16.0,,g6e,g
ecs.g8i.16xlarge,64,256.0,,g8i,g
ecs.g7a.32xlarge,128,512.0,,g7a,g
ecs.g7a.16xlarge,64,256.0,,g7a,g
ecs.g7t.large,2,8.0,,g7t,g
ecs.g8y.xlarge,4,16.0,,g8y,g
ecs.g5ne.4xlarge,16,64.0,7.2012,g5ne,g
ecs.gn5-c8g1.2xlarge,8,60.0,1.3051,gn5-c8g1,g
ecs.hfc6.6xlarge,24,48.0,8.2336,hfc6,h
ecs.hfc8i.large,2,4.0,,hfc8i,h
